Global_ID,S.No,Report Year,Incident Number,Grade Crossing ID,Date,AM/PM,Time,County Code,County Name,State Code,State Name,Highway User,Vehicle Direction Code,Vehicle Direction,Highway User Position Code,Highway User Position,Second Highway User,Second Vehicle Direction Code,Second Vehicle Direction,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Crossing Warning Expanded 1,Crossing Warning Expanded 2,Crossing Warning Expanded 3,Crossing Warning Expanded 4,Crossing Warning Expanded 5,Crossing Warning Expanded 6,Crossing Warning Expanded 7,Roadway Condition,Crossing Warning Location Code,Crossing Warning Location,User Age,User Sex,Highway User Action Code,Highway User Action,Estimated Vehicle Speed,Train Speed,Estimated/Recorded Speed,Vehicle Damage Cost,Narrative,Total Killed Form 57,Total Injured Form 57
5096,5096,2013,0213HO018,758535V,2013-02-16,AM,03:20 AM,201.0,HARRIS,48.0,TEXAS,Auto,3,East,1.0,Stalled or stuck on crossing,,,,42.0,4.0,Dark,2.0,Cloudy,1.0,Main,Gates,Cantilever FLS,Audible,Crossbucks,,,,Dry,1,Both sides,21.0,Female,4.0,Stopped on crossing,0.0,15.0,,5000.0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (BEFORE GATES DESCENDED).,0,0
5097,5097,2013,0213HO021,450661J,2013-02-17,AM,08:45 AM,291.0,LIBERTY,48.0,TEXAS,Auto,2,South,3.0,Moving over crossing,,,,66.0,2.0,Day,1.0,Clear,1.0,Main,Crossbucks,,,,,,,Dry,1,Both sides,20.0,Female,3.0,Did not stop,5.0,48.0,,1000.0,HIGHWAY USER'S ACTIONS:  DID NOT STOP.,0,1
5098,5098,2013,0213HO032,758434J,2013-02-21,AM,08:53 AM,201.0,HARRIS,48.0,TEXAS,Truck-trailer,1,North,2.0,Stopped on crossing,,,,73.0,2.0,Day,3.0,Rain,2.0,Yard,Stop signs,Crossbucks,,,,,,Wet,1,Both sides,57.0,Male,4.0,Stopped on crossing,0.0,3.0,,100.0,HIGHWAY USER'S ACTIONS:  STOPPED ON CROSSING (NO GATES).,0,0
5099,5099,2013,DGN481613T,597759W,2013-12-10,PM,04:00 PM,113.0,DALLAS,48.0,TEXAS,Other,2,South,2.0,Stopped on crossing,,,,40.0,2.0,Day,1.0,Clear,1.0,Main,,,,,,,,Dry,,,48.0,Male,8.0,Suicide/attempted suicide,0.0,21.0,,0.0,TRAIN APPROACHED WHAT THEY THOUGHT WAS A DARK OBJECT NEAR THE TRACKS.  AT 6 CAR LENGTHS THE CREW DETERMINED IT WAS A WHEEL CHAIR WITH A BODY IN IT.  THEY IMMEDIATELY PUT THE TRAIN INTO EMERGENCY.  THETRAIN STRUCK THE PEDESTRIAN IN THE WHEELCHAIR AND IT TRAVELED 3 ADDITIONAL CAR LENGTHS BEFORE COMING TO A STOP WITH INDIVIDUAL TRAPPED UNDER THE THIRD CAR IN THE TRAIN.  THE INDIVIDUAL WAS IN THE MIDDLE OF THE TRACK AT A PEDESTRIAN CROSSING.,1,0
5100,5100,2014,0414SA002,448985L,2014-04-01,AM,08:00 AM,283.0,LA SALLE,48.0,TEXAS,Truck-trailer,4,West,3.0,Moving over crossing,,,,72.0,1.0,Dawn,2.0,Cloudy,1.0,Main,Crossbucks,,,,,,,Dry,1,Both sides,60.0,Male,3.0,Did not stop,5.0,46.0,,20000.0,HIGHWAY USER'S ACTIONS: DID NOT STOP.,0,1
5101,5101,2014,0414SA014,744702B,2014-04-18,AM,09:19 AM,285.0,LAVACA,48.0,TEXAS,Truck-trailer,4,West,1.0,Stalled or stuck on crossing,,,,80.0,2.0,Day,1.0,Clear,1.0,Main,Crossbucks,Other,,,,,,Dry,1,Both sides,44.0,Male,4.0,Stopped on crossing,0.0,11.0,,90000.0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (NO GATES).,0,0
5102,5102,2013,TX1213200,274825N,2013-12-11,AM,07:45 AM,75.0,CHILDRESS,48.0,TEXAS,Auto,2,South,3.0,Moving over crossing,,,,32.0,1.0,Dawn,1.0,Clear,1.0,Main,Gates,Audible,,,,,,Dry,1,Both sides,24.0,Female,5.0,Other,20.0,30.0,,1000.0,41: GATES NOT ACTIVATED,0,1
5103,5103,2013,1213HO015,430088L,2013-12-18,PM,01:15 PM,339.0,MONTGOMERY,48.0,TEXAS,Pick-up truck,4,West,3.0,Moving over crossing,,,,64.0,2.0,Day,2.0,Cloudy,1.0,Main,Stop signs,Crossbucks,,,,,,Dry,1,Both sides,34.0,Male,3.0,Did not stop,3.0,50.0,,15000.0,HIGHWAY USER'S ACTIONS: DID NOT STOP.,0,1
5104,5104,2014,0414LV008,755480A,2014-04-09,PM,03:30 PM,419.0,SHELBY,48.0,TEXAS,Pick-up truck,2,South,3.0,Moving over crossing,,,,78.0,2.0,Day,2.0,Cloudy,1.0,Main,Stop signs,,,,,,,Dry,1,Both sides,16.0,Female,3.0,Did not stop,5.0,15.0,,2500.0,HIGHWAY USER'S ACTIONS: DID NOT STOP.,0,4
5105,5105,2013,0913HO029,755332F,2013-09-26,PM,06:30 PM,201.0,HARRIS,48.0,TEXAS,Truck-trailer,1,North,3.0,Moving over crossing,,,,84.0,4.0,Dark,1.0,Clear,1.0,Main,Stop signs,Crossbucks,,,,,,Dry,1,Both sides,53.0,Male,3.0,Did not stop,5.0,31.0,,1600.0,HIGHWAY USER'S ACTIONS: DID NOT STOP.,0,0
